t,meas_left,meas_right
1753187033.9477818,-0.19198621771937624,-0.19198621771937624
1753187033.9615371,-0.22689280275926285,-0.20943951023931956
1753187034.0884516,-0.2617993877991494,-0.22689280275926285
1753187034.147464,-0.2617993877991494,-0.22689280275926285
1753187034.2144709,-0.2792526803190927,-0.24434609527920614
1753187034.3401196,-0.29670597283903605,-0.2617993877991494
1753187034.3503504,-0.29670597283903605,-0.2617993877991494
1753187034.4662085,-0.33161255787892263,-0.29670597283903605
1753187034.5504577,-0.33161255787892263,-0.29670597283903605
1753187034.5931695,-0.3490658503988659,-0.3141592653589793
1753187034.7187958,-0.3665191429188092,-0.3490658503988659
1753187034.7538157,-0.3665191429188092,-0.3490658503988659
1753187034.8451166,-0.3839724354387525,-0.3665191429188092
1753187034.9569619,-0.3839724354387525,-0.3665191429188092
1753187034.9710233,-0.4188790204786391,-0.3839724354387525
1753187035.0980392,-0.4363323129985824,-0.4014257279586958
1753187035.156965,-0.4363323129985824,-0.4014257279586958
1753187035.2239852,-0.4886921905584123,-0.4188790204786391
1753187035.3502657,-0.5061454830783556,-0.4537856055185257
1753187035.35726,-0.5061454830783556,-0.4537856055185257
1753187035.4758668,-0.5410520681182421,-0.47123889803846897
1753187035.5570056,-0.5410520681182421,-0.47123889803846897
1753187035.6031046,-0.5585053606381855,-0.4886921905584123
1753187035.7294445,-0.5759586531581288,-0.5061454830783556
1753187035.7571788,-0.5759586531581288,-0.5061454830783556
1753187035.855151,-0.6108652381980153,-0.4886921905584123
1753187035.9568827,-0.6108652381980153,-0.4886921905584123
1753187035.980888,-0.6283185307179586,-0.5061454830783556
1753187036.1079917,-0.6457718232379019,-0.4886921905584123
1753187036.1566358,-0.6457718232379019,-0.4886921905584123
1753187036.2343862,-0.6457718232379019,-0.4886921905584123
1753187036.3594887,-0.6457718232379019,-0.4886921905584123
1753187036.359521,-0.6457718232379019,-0.4886921905584123
1753187036.4849813,-0.6632251157578453,-0.5061454830783556
1753187036.5624108,-0.6632251157578453,-0.5061454830783556
1753187036.61113,-0.6632251157578453,-0.5061454830783556
1753187036.737422,-0.6457718232379019,-0.5061454830783556
1753187036.765035,-0.6457718232379019,-0.5061454830783556
1753187036.86293,-0.6457718232379019,-0.5061454830783556
1753187036.9673123,-0.6457718232379019,-0.5061454830783556
1753187036.9880283,-0.6457718232379019,-0.4886921905584123
1753187037.1129887,-0.6457718232379019,-0.4886921905584123
1753187037.169441,-0.6457718232379019,-0.4886921905584123
1753187037.2401958,-0.6457718232379019,-0.5061454830783556
1753187037.3650427,-0.6632251157578453,-0.4886921905584123
1753187037.372403,-0.6632251157578453,-0.4886921905584123
1753187037.4903986,-0.6457718232379019,-0.4886921905584123
1753187037.5746899,-0.6457718232379019,-0.4886921905584123
1753187037.6162212,-0.6632251157578453,-0.5061454830783556
1753187037.7429743,-0.6457718232379019,-0.5061454830783556
1753187037.7774858,-0.6457718232379019,-0.5061454830783556
1753187037.8687918,-0.6457718232379019,-0.5061454830783556
1753187037.9794135,-0.6457718232379019,-0.5061454830783556
1753187037.9931138,-0.6457718232379019,-0.4886921905584123
1753187038.1213827,-0.6283185307179586,-0.47123889803846897
1753187038.1808045,-0.6283185307179586,-0.47123889803846897
1753187038.2477968,-0.5934119456780721,-0.4363323129985824
1753187038.376104,-0.5759586531581288,-0.4188790204786391
1753187038.3829162,-0.5759586531581288,-0.4188790204786391
1753187038.501038,-0.5410520681182421,-0.4014257279586958
1753187038.5849712,-0.5410520681182421,-0.4014257279586958
1753187038.629527,-0.5235987755982988,-0.3665191429188092
1753187038.7560852,-0.5061454830783556,-0.3490658503988659
1753187038.7869306,-0.5061454830783556,-0.3490658503988659
1753187038.881255,-0.47123889803846897,-0.3141592653589793
1753187038.9885178,-0.47123889803846897,-0.3141592653589793
1753187039.0093684,-0.4537856055185257,-0.29670597283903605
1753187039.1345983,-0.4188790204786391,-0.2792526803190927
1753187039.19084,-0.4188790204786391,-0.2792526803190927
1753187039.2610333,-0.4014257279586958,-0.24434609527920614
1753187039.3890986,-0.3839724354387525,-0.22689280275926285
1753187039.3927639,-0.3839724354387525,-0.22689280275926285
1753187039.513921,-0.3490658503988659,-0.20943951023931956
1753187039.5942955,-0.3490658503988659,-0.20943951023931956
1753187039.6420724,-0.33161255787892263,-0.17453292519943295
1753187039.7660503,-0.29670597283903605,-0.15707963267948966
1753187039.7967591,-0.29670597283903605,-0.15707963267948966
1753187039.8941393,-0.2792526803190927,-0.13962634015954636
1753187039.9990013,-0.2792526803190927,-0.13962634015954636
1753187040.0192645,-0.2617993877991494,-0.10471975511965978
1753187040.1441908,-0.2617993877991494,-0.08726646259971647
